"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95","kWh","cost","ID"
"Dec 2010",55625.2171997149,38950.0497944009,72300.3846050289,30122.7493870343,81127.6850123955,55.6252171997149,8.18803197179804,1
"Jan 2011",52510.0706897815,35834.9032844675,69185.2380950954,27007.6028771009,78012.5385024621,52.5100706897815,7.72948240553583,2
"Feb 2011",33354.8309508424,16679.6635455284,50029.9983561564,7852.3631381618,58857.298763523,33.3548309508424,4.909831115964,3
"Mar 2011",47186.3924987362,30511.2250934222,63861.5599040502,21683.9246860556,72688.8603114168,47.1863924987362,6.94583697581397,4
"Apr 2011",36923.1877837622,20248.0203784482,53598.3551890761,11420.7199710816,62425.6555964428,36.9231877837622,5.43509324176979,5
"May 2011",40098.6458075216,23423.4784022076,56773.8132128355,14596.177994841,65601.1136202022,40.0986458075216,5.90252066286717,6
"Jun 2011",51696.2879387185,35021.1205334045,68371.4553440325,26193.8201260379,77198.7557513991,51.6962879387185,7.60969358457936,7
"Jul 2011",21892.1302702063,5216.96286489232,38567.2976755203,-3610.3375424743,47394.5980828869,21.8921302702063,3.22252157577437,8
"Aug 2011",13916.3674013744,-2758.80000393959,30591.5348066884,-11586.1004113062,39418.835214055,13.9163674013744,2.04848928148231,9
"Sep 2011",37070.3026473807,20395.1352420668,53745.4700526947,11567.8348347001,62572.7704600614,37.0703026473807,5.45674854969445,10
"Oct 2011",34213.4832313354,17538.3158260214,50888.6506366494,8711.01541865476,59715.951044016,34.2134832313354,5.03622473165257,11
"Nov 2011",40197.9936424219,23522.8262371079,56873.1610477358,14695.5258297413,65700.4614551025,40.1979936424219,5.9171446641645,12
